,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
134,Logistic Regression,sentiment,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
135,Logistic Regression,sentiment,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
136,Logistic Regression,sentiment,0.263157894736842,0.305458089668616,0.353046594982079,0.263157894736842,0.227347708259691,0.263157894736842,dev,subtaskbenglish,0.173913043478261,0.341463414634146,0.166666666666667,
137,Logistic Regression,sentiment,0.444444444444444,0.365322580645161,0.321631878557875,0.444444444444444,0.298811544991511,0.444444444444444,test,subtaskbenglish,0.315789473684211,0.580645161290323,0,
138,Decision Tree,sentiment,0.779124579124579,0.244919559695174,0.198388203017833,0.779124579124579,0.219211822660099,0.779124579124579,dev,subtaskaenglish,0.876847290640394,0,0,0
139,Decision Tree,sentiment,0.795292829775588,0.248410206874346,0.218109507954125,0.795292829775588,0.2257868548947,0.795292829775588,test,subtaskaenglish,0.885906040268456,0.017241379310345,0,0
140,Decision Tree,sentiment,0.263157894736842,0.273879142300195,0.307539682539683,0.263157894736842,0.242269984917044,0.263157894736842,dev,subtaskbenglish,0.307692307692308,0.294117647058824,0.125,
141,Decision Tree,sentiment,0.358024691358025,0.29005376344086,0.272418058132344,0.358024691358025,0.263440860215054,0.358024691358025,test,subtaskbenglish,0.290322580645161,0.5,0,
142,Random Forest Classifier,sentiment,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
143,Random Forest Classifier,sentiment,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
144,Random Forest Classifier,sentiment,0.342105263157895,0.342300194931774,0.352108036890646,0.342105263157895,0.305827505827506,0.342105263157895,dev,subtaskbenglish,0.4,0.363636363636364,0.153846153846154,
145,Random Forest Classifier,sentiment,0.333333333333333,0.288709677419355,0.296779388083736,0.333333333333333,0.279864371413667,0.333333333333333,test,subtaskbenglish,0.317460317460317,0.450704225352113,0.071428571428572,
